date,produit,quantité,prix_unitaire,région
2025-09-01,Pantalons,27,30,Québec
2025-09-01,Chaussures,25,50,Québec
2025-09-01,Accessoires,22,20,Alberta
2025-09-01,Chemises,22,50,Ontario
2025-09-01,Pantalons,11,20,Ontario
2025-09-02,Chaussures,25,20,Manitoba
2025-09-02,Chaussures,29,20,Alberta
2025-09-02,Chaussures,10,25,Québec
2025-09-02,Chaussures,28,50,Alberta
2025-09-02,Vestes,31,20,Alberta
2025-09-02,Pantalons,34,40,Alberta
2025-09-02,Chemises,34,50,Manitoba
2025-09-02,Pantalons,26,60,Québec
2025-09-02,Accessoires,35,60,Colombie-Britannique
2025-09-02,Accessoires,34,60,Colombie-Britannique
2025-09-02,Vestes,33,20,Alberta
2025-09-03,Chaussures,17,25,Colombie-Britannique
2025-09-03,Pantalons,36,40,Alberta
2025-09-03,Chaussures,25,50,Colombie-Britannique
2025-09-03,Pantalons,13,50,Québec
2025-09-03,Chaussures,1,30,Alberta
2025-09-03,Chemises,35,50,Colombie-Britannique
2025-09-03,Chaussures,32,60,Alberta
2025-09-04,Accessoires,12,25,Colombie-Britannique
2025-09-04,Accessoires,25,40,Colombie-Britannique
2025-09-04,Chaussures,9,40,Québec
2025-09-04,Chemises,17,30,Québec
2025-09-04,Pantalons,27,20,Colombie-Britannique
2025-09-04,Chaussures,5,50,Manitoba
2025-09-04,Pantalons,6,40,Québec
2025-09-04,Chaussures,25,20,Manitoba
2025-09-05,Chaussures,17,40,Alberta
2025-09-05,Chaussures,22,40,Manitoba
2025-09-05,Pantalons,11,40,Québec
2025-09-05,Chaussures,24,60,Ontario
2025-09-05,Chemises,4,50,Québec
2025-09-05,Vestes,20,25,Manitoba
2025-09-05,Pantalons,24,25,Colombie-Britannique
2025-09-05,Accessoires,34,20,Alberta
2025-09-05,Chemises,25,40,Manitoba
2025-09-05,Chaussures,30,60,Ontario
2025-09-05,Chaussures,29,60,Alberta
2025-09-06,Pantalons,2,25,Colombie-Britannique
2025-09-06,Accessoires,34,50,Alberta
2025-09-06,Accessoires,22,50,Ontario
2025-09-06,Chaussures,24,25,Manitoba
2025-09-06,Accessoires,6,30,Alberta
2025-09-06,Accessoires,14,30,Ontario
2025-09-06,Pantalons,3,50,Colombie-Britannique
2025-09-06,Chaussures,33,25,Ontario
2025-09-06,Chaussures,18,50,Ontario
2025-09-06,Chemises,39,30,Québec
2025-09-06,Chaussures,36,50,Alberta
2025-09-06,Chemises,9,40,Manitoba
2025-09-07,Vestes,17,60,Québec
2025-09-07,Accessoires,22,40,Colombie-Britannique
2025-09-07,Chemises,9,50,Manitoba
2025-09-07,Chaussures,39,40,Manitoba
2025-09-07,Pantalons,8,60,Manitoba
2025-09-07,Chaussures,30,30,Alberta
2025-09-07,Vestes,23,25,Alberta
2025-09-07,Vestes,13,25,Alberta
2025-09-07,Vestes,27,40,Québec
2025-09-07,Accessoires,12,50,Alberta
2025-09-07,Vestes,5,30,Alberta
2025-09-07,Chaussures,33,50,Alberta
2025-09-08,Chaussures,4,50,Colombie-Britannique
2025-09-08,Vestes,7,40,Alberta
2025-09-08,Accessoires,16,60,Alberta
2025-09-08,Vestes,29,50,Alberta
2025-09-08,Accessoires,16,60,Alberta
2025-09-08,Vestes,37,30,Manitoba
2025-09-08,Pantalons,12,20,Québec
2025-09-08,Chaussures,32,60,Colombie-Britannique
2025-09-08,Chemises,35,20,Colombie-Britannique
2025-09-08,Vestes,10,30,Manitoba
2025-09-09,Chemises,3,40,Manitoba
2025-09-09,Accessoires,19,60,Manitoba
2025-09-09,Accessoires,21,60,Québec
2025-09-09,Vestes,5,30,Ontario
2025-09-09,Pantalons,27,30,Ontario
2025-09-09,Vestes,39,20,Québec
2025-09-09,Vestes,13,20,Ontario
2025-09-09,Pantalons,11,60,Manitoba
2025-09-09,Accessoires,20,40,Ontario
2025-09-09,Vestes,19,50,Ontario
2025-09-10,Chaussures,40,50,Colombie-Britannique
2025-09-10,Accessoires,13,50,Alberta
2025-09-10,Chaussures,27,40,Colombie-Britannique
2025-09-10,Chaussures,37,40,Québec
2025-09-10,Vestes,23,25,Manitoba
2025-09-10,Vestes,13,25,Ontario
2025-09-11,Chaussures,14,20,Ontario
2025-09-11,Vestes,1,40,Québec
2025-09-11,Pantalons,2,20,Manitoba
2025-09-11,Chemises,19,25,Colombie-Britannique
2025-09-11,Pantalons,19,60,Québec
2025-09-11,Pantalons,33,20,Ontario
2025-09-11,Pantalons,30,25,Ontario
2025-09-11,Vestes,33,60,Ontario
2025-09-12,Vestes,13,40,Manitoba
2025-09-12,Chaussures,3,30,Colombie-Britannique
2025-09-12,Chemises,7,25,Colombie-Britannique
2025-09-12,Chaussures,23,50,Colombie-Britannique
2025-09-12,Accessoires,29,50,Québec
2025-09-12,Pantalons,24,25,Alberta
2025-09-12,Vestes,7,50,Québec
2025-09-12,Chaussures,21,60,Manitoba
2025-09-12,Chaussures,25,25,Ontario
2025-09-12,Vestes,31,25,Ontario
2025-09-12,Chaussures,6,30,Ontario
2025-09-13,Chaussures,15,40,Ontario
2025-09-13,Vestes,26,20,Ontario
2025-09-13,Chaussures,8,40,Ontario
2025-09-13,Chaussures,3,30,Ontario
2025-09-13,Vestes,16,25,Ontario
2025-09-14,Pantalons,6,60,Ontario
2025-09-14,Chaussures,21,60,Alberta
2025-09-14,Vestes,15,20,Alberta
2025-09-14,Chaussures,5,20,Manitoba
2025-09-14,Chemises,16,25,Alberta
2025-09-14,Accessoires,39,60,Québec
2025-09-14,Accessoires,27,50,Alberta
2025-09-14,Pantalons,9,40,Alberta
2025-09-14,Chaussures,19,30,Manitoba
2025-09-14,Pantalons,23,50,Québec
2025-09-14,Chaussures,6,40,Alberta
2025-09-15,Accessoires,29,20,Alberta
2025-09-15,Accessoires,13,40,Manitoba
2025-09-15,Chaussures,14,60,Ontario
2025-09-15,Pantalons,31,30,Colombie-Britannique
